reward,f1,nhd
0.242437167,0.461538462,0.35
0.385185185,0.428571429,0.4
0.533048846,0.428571429,0.4
0.543048846,0.461538462,0.35
0.244351396,0.307692308,0.45
0.250767509,0.333333333,0.4
0.231190476,0.285714286,0.5
0.245761456,0.307692308,0.45
0.556095276,0.307692308,0.45
0.525800866,0.333333333,0.4
0.243821762,0.153846154,0.55
0.252744149,0.166666667,0.5
0.251190476,0.166666667,0.5
0.797138047,0.166666667,0.5
0.771455289,0.333333333,0.4
0.781455289,0.181818182,0.45
0.499887454,0,0.55
0.265075479,0.166666667,0.5
0.50452381,0,0.5
0.48452381,0,0.6
0.275075479,0.181818182,0.45
0.49452381,0,0.55
0.786038231,0.307692308,0.45
0.773811537,0.461538462,0.35
